city,code,rank_2026_09_05,choice_2026_09_05,rank_2026_08_04,choice_2026_08_04
Agadir,D138763593,493,1,1051,1
Agadir,L143092660,494,3,1052,3
Agadir,G141096042,495,2,1053,2
Agadir,D130688317,496,1,1054,1
Agadir,D145135335,497,1,1055,1
Agadir,G144079007,498,2,1056,2
Agadir,D142116467,499,1,1057,1
Agadir,G145014171,500,3,1058,3
Agadir,D133818408,501,1,1059,1
Agadir,D140086902,502,1,1060,1
Agadir,K149059164,503,2,1061,2
Agadir,G137759718,504,1,1062,1
Agadir,D146086885,505,1,1063,1
Agadir,D148150462,506,1,1064,1
Agadir,L146078947,507,3,1065,3
Agadir,D146097163,508,1,1066,1
Agadir,D142043598,509,2,1067,2
Agadir,K148069492,510,2,1068,2
Agadir,D149127967,511,1,1069,1
Agadir,L145083551,512,3,1070,3
Agadir,D148086068,513,1,1071,1
Agadir,K144061548,514,2,1072,2
Agadir,G143077523,515,2,1073,2
Agadir,M141085977,516,2,1074,2
Agadir,K142062720,517,3,1075,3
Agadir,L141088341,518,3,1076,3
Agadir,M147099608,519,1,1077,1
Agadir,D145116727,520,3,1078,3
Agadir,G146046374,521,2,1079,2
Agadir,K149071382,522,2,1080,2
Agadir,D146096056,523,1,1081,1
Agadir,G149106402,524,2,1082,2
Agadir,G134246206,525,2,1083,2
Agadir,G149092214,526,2,1084,2
Agadir,G145110550,527,1,1085,1
Agadir,D141134801,528,1,1086,1
Agadir,D144128473,529,2,1087,2
Agadir,D144072368,530,1,1088,1
Agadir,D149134626,531,1,1089,1
Agadir,R142154019,532,3,1090,3
Agadir,B146008012,533,1,1091,1
Agadir,C142012418,534,2,1092,2
Agadir,D140134990,535,1,1093,1
Agadir,G140120037,536,3,1094,3
Agadir,D149074917,537,1,1095,1
Agadir,D143119987,538,2,1096,2
Agadir,D148125286,539,1,1097,1
Agadir,L143083426,540,3,1098,3
Agadir,G149063483,541,2,1099,2
Agadir,K148099362,542,3,1100,3
Agadir,L145094749,543,3,1101,3
Agadir,G131837233,544,3,1102,3
Agadir,D143114666,545,1,1103,1
Agadir,G143069758,546,2,1106,2
Agadir,D140140353,547,2,1107,2
Agadir,M145094396,548,3,1108,3
Agadir,G130777339,549,2,1109,2
Agadir,G142133611,550,3,1110,3
Agadir,G143078986,551,3,1111,3
Agadir,G144140553,552,3,1112,3
Agadir,D147133091,553,1,1113,1
Agadir,G141095012,554,1,1114,1
Agadir,G148113439,555,2,1115,2
Agadir,R149190113,556,2,1116,2
Agadir,D149117320,557,1,1117,1
Agadir,G143076789,558,2,1118,2
Agadir,D146106272,559,2,1119,2
Agadir,G143093054,560,1,1120,1
Agadir,G144082303,561,3,1121,3
Agadir,D144115926,562,1,1122,1
Agadir,G145090869,563,2,1123,2
Agadir,D142108795,564,1,1124,1
Agadir,G145079326,565,2,1125,2
Agadir,G145111749,566,2,1126,2
Agadir,G144116806,567,2,1127,2
Agadir,D131606729,568,1,1128,1
Agadir,F138249848,569,3,1129,3
Agadir,B143010663,570,2,1130,2
Agadir,L132279722,571,3,1131,3
Agadir,D145111433,572,1,1132,1
Agadir,L149071989,573,3,1133,3
Agadir,D146124658,574,1,1134,1
Agadir,J142094291,575,3,1136,3
Agadir,D146086884,576,1,1137,1
Agadir,F143122286,577,2,1138,2
Agadir,L148097894,578,1,1139,1
Agadir,G145119152,579,2,1140,2
Agadir,D149086738,580,1,1141,1
Agadir,C146005070,581,1,1142,1
Agadir,G134806095,582,2,1143,2
Agadir,G146083144,583,2,1144,2
Agadir,D138137063,584,1,1145,1
Agadir,G145133979,585,2,1146,2
Agadir,D149143064,586,1,1147,1
Agadir,G146072184,587,2,1148,2
Agadir,M149080691,588,2,1149,2
Agadir,G135771764,589,1,1150,1
Agadir,D144107057,590,1,1151,1
Agadir,G144135730,591,2,1152,2
Agadir,L148088478,592,3,1153,3
Agadir,L149104451,593,3,1154,3
Agadir,G147135471,594,3,1155,3
Agadir,G149096670,595,2,1156,2
Agadir,D144126084,596,1,1157,1
Agadir,G141076731,597,2,1158,2
Agadir,G148110226,598,3,1159,3
Agadir,G147098252,599,2,1160,2
Agadir,G149135802,600,2,1161,2
Agadir,D139853661,601,1,1163,1
Agadir,C140007717,602,1,1164,1
Agadir,D142139184,603,1,1165,1
Agadir,D142120496,604,2,1166,2
Agadir,M140079992,605,2,1168,2
Agadir,G146129606,606,3,1169,3
Agadir,G149127155,607,2,1170,2
Agadir,G145083059,608,2,1171,2
Agadir,M145094429,609,1,1172,1
Agadir,D145141116,610,1,1173,1
Agadir,D149116976,611,1,1174,1
Agadir,L148077962,612,2,1175,2
Agadir,G148131680,613,2,1176,2
Agadir,D143134181,614,1,1177,1
Agadir,L148096939,615,3,1178,3
Agadir,G141091811,616,2,1179,2
Agadir,D145105237,617,1,1180,1
Agadir,D142147347,618,2,1181,2
Agadir,D147145111,619,1,1182,1
Agadir,G143138486,620,2,1183,2
Agadir,G141090668,621,2,1184,2
Agadir,D146136462,622,1,1185,1
Agadir,D149108797,623,2,1186,2
Agadir,L142086050,624,3,1187,3
Agadir,D141126430,625,2,1188,2
Agadir,D145095814,626,1,1189,1
Agadir,D144076068,627,1,1190,1
Agadir,G142068666,628,2,1191,2
Agadir,G155000131,629,3,1192,3
Agadir,D158000280,630,1,1193,1
Agadir,D148130240,631,1,1194,1
Agadir,D143095022,632,1,1195,1
Agadir,G133026557,633,3,1196,3
Agadir,G149103381,634,2,1197,2
Agadir,K140066840,635,2,1198,2
Agadir,G143091266,636,2,1199,2
Agadir,G143105033,637,2,1200,2
Agadir,L140086727,638,2,1202,2
Agadir,D141118520,639,1,1203,1
Agadir,G143082881,640,2,1204,2
Agadir,L142082271,641,3,1205,3
Agadir,D142143328,642,1,1206,1
Agadir,G147010262,643,2,1207,2
Agadir,D148116169,644,1,1208,1
Agadir,D143108099,645,1,1209,1
Agadir,G148098702,646,2,1210,2
Agadir,M144103446,647,1,1211,1
Agadir,G141082255,648,2,1212,2
Agadir,G146068051,649,2,1213,2
Agadir,G147111647,650,2,1214,2
Agadir,D140133131,651,2,1215,2
Agadir,D140150533,652,1,1216,1
Agadir,L142101071,653,1,1217,1
Agadir,G131803676,654,2,1218,2
Agadir,L149096883,655,3,1219,3
Agadir,D143081485,656,1,1220,1
Agadir,D147098547,657,1,1221,1
Agadir,G149114625,658,2,1222,2
Agadir,D142111950,659,1,1223,1
Agadir,F136212607,660,2,1224,2
Agadir,G142092954,661,3,1225,3
Agadir,G147113670,662,2,1226,2
Agadir,G146091224,663,2,1227,2
Agadir,J144079536,664,2,1228,2
Agadir,D146147418,665,1,1229,1
Agadir,D142105366,666,1,1230,1
Agadir,D144109048,667,1,1231,1
Agadir,C145015570,668,1,1232,1
Agadir,L148078845,669,3,1233,3
Agadir,G133733562,670,3,1234,3
Agadir,G142132488,671,1,1236,1
Agadir,G149132420,672,1,1237,1
Agadir,D141128225,673,1,1238,1
Agadir,D149138134,674,1,1239,1
Agadir,G141127680,675,1,1240,1
Agadir,G139724166,676,2,1241,2
Agadir,D144121220,677,1,1242,1
Agadir,D149150031,678,1,1243,1
Agadir,G147061958,679,2,1244,2
Agadir,F145101611,680,2,1245,2
Agadir,L147086873,681,2,1246,2
Agadir,L143085995,682,3,1247,3
Agadir,G143086198,683,2,1248,2
Agadir,G142085738,684,2,1249,2
Agadir,G145087865,685,2,1250,2
Agadir,G143077524,686,2,1251,2
Agadir,G149062169,687,2,1252,2
Agadir,G149078654,688,2,1253,2
Agadir,G143068911,689,2,1254,2
Agadir,D144122134,690,2,1255,2
Agadir,K141102603,691,1,1256,1
Agadir,G148087160,692,2,1257,2
Agadir,G148095813,693,2,1258,2
Agadir,K146067368,694,2,1259,2
Agadir,C149008558,695,1,1260,1
Agadir,C144011306,696,1,1261,1
Agadir,G150001386,697,2,1262,2
Agadir,G134781525,698,3,1263,3
Agadir,C158000031,699,1,1264,1
Agadir,D145080459,700,1,1265,1
Agadir,D149076548,701,2,1266,2
Agadir,K140088715,702,2,1267,2
Agadir,M145076649,703,2,1268,2
Agadir,D148124360,704,1,1269,1
Agadir,L147085252,705,3,1270,3
Agadir,G148112368,706,2,1271,2
Agadir,D143126277,707,1,1272,1
Agadir,D148083017,708,1,1273,1
Agadir,D144123165,709,2,1274,2
Agadir,K140099988,710,2,1275,2
Agadir,D146103136,711,1,1276,1
Agadir,L140085889,712,3,1277,3
Agadir,L141090392,713,3,1278,3
Agadir,D144078645,714,2,1279,2
Agadir,M147094384,715,1,1280,1
Agadir,G140075324,716,2,1281,2
Agadir,D142122638,717,1,1282,1
Agadir,D146121715,718,1,1283,1
Agadir,L142093934,719,3,1284,3
Agadir,D142083837,720,1,1285,1
Agadir,B147007146,721,1,1286,1
Agadir,G148096125,722,2,1287,2
Agadir,B146009158,723,1,1288,1
Agadir,G147133853,724,2,1289,2
Agadir,G146135257,725,2,1290,2
Agadir,G144113465,726,2,1291,2
Agadir,G141098871,727,2,1292,2
Agadir,D149106372,728,1,1293,1
Agadir,L149083335,729,3,1294,3
Agadir,G144002764,730,3,1295,3
Agadir,K149097235,731,2,1296,2
Agadir,D141121937,732,3,1297,3
Agadir,D149142899,733,1,1298,1
Agadir,G140100735,734,2,1299,2
Agadir,K147099350,735,1,1300,1
Agadir,D149106145,736,2,1301,2
Agadir,M149079454,737,3,1302,3
Agadir,D140098825,738,2,1303,2
Agadir,D147128637,739,1,1304,1
Agadir,G144082809,740,2,1305,2
Agadir,D146051084,741,1,1306,1
Agadir,D145062276,742,1,1307,1
Agadir,K145080049,743,2,1308,2
Agadir,G131815807,744,2,1309,2
Agadir,G148098019,745,3,1310,3
Agadir,G148098678,746,2,1311,2
Agadir,G147088482,747,3,1312,3
Agadir,D142115163,748,1,1313,1
Agadir,G142085740,749,3,1314,3
Agadir,D138590437,750,1,1315,1
Agadir,M137414980,751,1,1316,1
Agadir,D141101371,752,1,1317,1
Agadir,Y133016750,753,3,1318,3
Agadir,L143082692,754,3,1319,3
Agadir,K140064486,755,2,1320,2
